Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
Good,The room was clean. The hotel facilitated shuttle service from the airport for an additional cost based on my request. The hotel also very kindly received a package on my behalf prior to my arrival. Maha was responsive and reachable via whatsap and was able to accommodate the needs for my stay. The hotel is good for a layover in Larnaca as it is close to the airport and also allows you access to the beach at 7min walking distance.,,8.0,Méli,Lebanon,Double Room with Balcony,1 night,2021-08-01,Couple,Thank you melissa for your kind comments. We would be always available to serve our guests. We are happy you were overall satisfied .,room clean hotel facilit shuttl servic airport addit cost base request hotel also kindli receiv packag behalf prior arriv maha respons reachabl via whatsap abl accommod need stay hotel good layov larnaca close airport also allow access beach min walk distanc,,positive,0.06666666666666665,0.0,8,2021
Great staff!Very good hotel!,Very friendly and helpful staff.Clean facilities.Good breakfast,Didn’t find anything negative,10.0,Alexey,Ukraine,Two-Bedroom Suite,1 night,2021-08-01,Family,thank you very much for your kind review and great score. hope to see you another time.,friendli help staffclean facilitiesgood breakfast,didn’t find anyth neg,positive,0.0,0.0,8,2021
Amazing,"Amazing hotel, new, clean, staff & management are great…highly recommended",,10.0,Jad,Saudi Arabia,Double Room with Balcony,1 night,2021-08-01,Solo traveler,thank you very much for your kind review and great score. hope to see you another time.,amaz hotel new clean staff manag great…highli recommend,,positive,0.2515151515151515,0.0,8,2021
Exceptional,Excellent service.,,10.0,Mo,United Kingdom,Double Room with Balcony,1 night,2021-08-01,Solo traveler,thank you very much for your kind review and great score. hope to see you another time.,excel servic,,positive,0.0,0.0,8,2021
A++,"The owners, Tony and Joanna were very friendly, welcoming and accommodating as was Richard at the bar/restaurant. Coming off of a US based cruise ship, we had forgotten converters to charge our phones but Tony had multiple for us to borrow. He even had a luggage scale for us as we prepared our suitcases for our departure back home.
The rooms were completely renovated and stunning with brand new air conditioning systems that chilled the rooms within minutes (we rented a 2 bedroom suite). 
Finally, the place was spotlessly clean!",There is nothing negative to say about the property. It was a wonderful stay n,10.0,Christiana,United States of America,Two-Bedroom Suite,1 night,2021-08-01,Family,thank you very much for your nice and detailed  comments and for the  great score. we are happy that you had a nice stay at our hotel. hope to see you another time.,owner toni joanna friendli welcom accommod richard barrestaur come u base cruis ship forgotten convert charg phone toni multipl u borrow even luggag scale u prepar suitcas departur back home room complet renov stun brand new air condit system chill room within minut rent bedroom suit final place spotlessli clean,noth neg say properti wonder stay n,positive,-0.0593939393939394,0.0,8,2021
Richard was fantastic. So helpful polite and caring. Nothing was too much for him. We will definitely recommend this hot,The rooms and and the staff,Nothing,10.0,Ben,United Kingdom,Family Suite with Balcony,1 night,2021-07-01,Family,thank you very much for your kind review and great score. hope to see you another time.,room staff,noth,positive,0.0,0.0,7,2021
Excellent stay overall.,"Very friendly and effective employees and owners.
Brand new fittings and furniture.
Excellent location near the airport and the beach.
Very clean and quite.
I recommend it without any reservation.",Nothing at all,10.0,Nikolaos,United Arab Emirates,Double Room with Balcony,1 night,2021-08-01,Solo traveler,"thank you very much for your kind review, your detailed comments and great score. hope to see you another time.",friendli effect employe owner brand new fit furnitur excel locat near airport beach clean quit recommend without reserv,noth,positive,0.25075757575757573,0.0,8,2021
Glad we picked La Veranda! Everything we were looking for!,"Great location! Convenient to the airport and the beach. Professional and friendly staff. If you are looking to an affordable, clean hotel 5 minutes away from the airport and within walking distance to the beach, restaurants, and other amenities this is the place for you!",Nothing,10.0,Rita,Lebanon,Double Room with Balcony,1 night,2021-07-01,Family,"thank you very much for your nice review , detailed comments and great score. we are happy that you found nothing negative. Hope to see you another time.",great locat conveni airport beach profession friendli staff look afford clean hotel minut away airport within walk distanc beach restaur amen place,noth,positive,0.5833333333333334,0.0,7,2021
Friendly staff,Very good service,,9.0,Imran,United Arab Emirates,Family Suite with Balcony,1 night,2021-07-01,Family,thank you very much for your kind review. hope to see you another time.,good servic,,positive,0.7,0.0,7,2021
it is nice place for tourists short stay. close to the sandy beaches and night live,it is recently renovated building therefore the rooms were nice and clean. Mackenzie Beach promenade is 5 min walk.,close surroundings are not that exciting and clean,9.0,Denis,Cyprus,Double Room with Balcony,1 night,2021-07-01,Family,Thank you for your detailed comments. Hope to host you another time,recent renov build therefor room nice clean mackenzi beach promenad min walk,close surround excit clean,positive,0.32222222222222224,0.3666666666666667,7,2021
Exceptional,"Everything was perfect!
Nice location, excellent rooms, very friendly staff!",,10.0,Demid,Cyprus,Standard Triple Room,1 night,2021-07-01,Family,Thank you for your kind comments and great score. We are happy that you like everything. Hope to see you another tome.,everyth perfect nice locat excel room friendli staff,,positive,0.8,0.0,7,2021
Very Good,"Very clean & modern, good customer service and restaurant/bar very reasonably priced and quality",,8.0,Vanessa,Malta,Double Room with Balcony,2 nights,2021-07-01,Family,thank you very much for your kind comments,clean modern good custom servic restaurantbar reason price qualiti,,positive,0.4222222222222222,0.0,7,2021
Exceeded expectations,"Check in was quick and easy by polite, friendly hotel managers. Great service by Richard (bar manager). Rooms very clean, good quality bed linen and towels, A/C, flat screen tv.
Located 7 minutes walk from beach, restaurants and supermarket. Airport 10 mins by taxi. Larnaca centre 10 mins by bus or about 30 mins walking.
Highly recommend",,10.0,Nicky,United Kingdom,Double Room with Balcony,11 nights,2021-07-01,Group,,check quick easi polit friendli hotel manag great servic richard bar manag room clean good qualiti bed linen towel ac flat screen tv locat minut walk beach restaur supermarket airport min taxi larnaca centr min bu min walk highli recommend,,positive,0.43500000000000005,0.0,7,2021
Exceptional,Amazing place to be honest! Everything was perfect,,10.0,Alejandro,Germany,Double Room with Balcony,1 night,2021-07-01,Solo traveler,thank you so much for your nice comments and for the score; we were happy welcoming you at the hotel; hope to see you again.,amaz place honest everyth perfect,,positive,0.8,0.0,7,2021
Very Good,"Very clean, nice renovated rooms, staff was fantastic and price was great","Need some renovation in lobby and common areas, as well as for the elevator.
During night lights in common areas didn't work well.",8.0,Antreasp,Cyprus,Double Room with Balcony,1 night,2021-06-01,Solo traveler,Thank you so much for your nice  comments; yes we are planning to renovate the lobby but there were a delay from  Covid ; we will check the lights in common areas. thank you,clean nice renov room staff fantast price great,need renov lobbi common area well elev night light common area didnt work well,positive,0.5888888888888889,-0.06666666666666665,6,2021
Very Good,Everything was excellent,,8.0,Vanessa,Malta,Double Room with Balcony,1 night,2021-07-01,Family,"Thank you very much.
Hope to see you again",everyth excel,,positive,0.0,0.0,7,2021
Good inexpensive hotel,"Very modern and clean. Netflix in room an unexpected surprise, but beware, difficult to sign back out of your account! No views but a short walk to nice beach bars. Rebuke is v good. Close to airport.",Room small. But I had the smallest I think.,8.0,Graham,Cyprus,Double Room with Balcony,1 night,2021-07-01,Solo traveler,Thank you for the details; yes actually you had the smallest room in the hotel. We are sorry for any inconvenience,modern clean netflix room unexpect surpris bewar difficult sign back account view short walk nice beach bar rebuk v good close airport,room small smallest think,positive,0.19523809523809524,-0.25,7,2021
Exceptional,Amazing staff. I met the owners at the reception and they took care of my girl and she was very happy with her stay and the room was clean and ready by 12 to check in.,Nothing,10.0,Walid,Saudi Arabia,Standard Triple Room,1 night,2021-07-01,Solo traveler,thank you so much for your nice comments and for the score; we were happy welcoming and taking care of your beautiful daughter at the hotel; hope to see you again.,amaz staff met owner recept took care girl happi stay room clean readi check,noth,positive,0.3666666666666667,0.0,7,2021
In general we are very satisfied with our staying!,"We liked a lot the hotel, it's location and services. But the most we liked — the personnel, especially the Chief. He is real professional, was always trying to prepare for us traditional vegan dishes of local cuisine (always delicious!). More over, he was very friendly and kind-hearted to us, recommending places of interest, routes e.t.c. Thanks to Cyprus, Thanks to La Veranda, thanks to the Chief!)","It would be great to have a clothes dryer at the balcony or in the bathroom, because after the swimming nowhere to dry the wet clothes and towels. 
 After the room cleaning, most hotels provide a bottle of water. It is not expensive for the hotel, but it is demonstrating the care about the clients. We had one bottle only after check in and none for the rest 5 nights.",8.0,Kateryna,Ukraine,Standard Triple Room,6 nights,2021-07-01,Couple,"Thank you for your detailed comments. We are happy you were satisfied during your stay. And you liked the food however the choices were a bit difficult as you are vegan. Our chef tried his best to satisfy you. Regarding the clothes dryer, we didn’t put on the balcony to keep space for table and chairs , and basically you can put your swim suits on the chair, they will dry v quickly in the sun. As for the bottle of water, we don’t renew it as it is a welcoming l, provided upon the chevk-in of our guests.",like lot hotel locat servic like — personnel especi chief real profession alway tri prepar u tradit vegan dish local cuisin alway delici friendli kindheart u recommend place interest rout etc thank cypru thank la veranda thank chief,would great cloth dryer balconi bathroom swim nowher dri wet cloth towel room clean hotel provid bottl water expens hotel demonstr care client one bottl check none rest night,positive,0.1,0.3555555555555556,7,2021
Highly recommended!,The room was fresh and clean. Friendly staff. Highly recommended.,,9.0,Anna,Cyprus,Double Room with Balcony,1 night,2021-07-01,Solo traveler,thank you so much for your nice comments and for the score; we were happy welcoming you at the hotel; hope to see you again.,room fresh clean friendli staff highli recommend,,positive,0.33333333333333337,0.0,7,2021
Amazing Stay,"Amazing stay, near Mackenzie Beach just 2 min walk. The staff is superb, clean and spacious rooms. Will definitely come back again. Much recommended",,10.0,Sarah,Lebanon,Double Room with Balcony,1 night,2021-07-01,Family,Thank you so much for your nice comments and for the score; we were happy welcoming you and your mother at the hotel; hope to see you another time.,amaz stay near mackenzi beach min walk staff superb clean spaciou room definit come back much recommend,,positive,0.33333333333333337,0.0,7,2021
Strongly recommend,"Very good team
Good hospitality
Good food
Smiling and willing people.",,10.0,Fadi,Czech Republic,Double Room with Balcony,1 night,2021-07-01,Family,Thank you so much. Hope to see you again,good team good hospit good food smile will peopl,,positive,0.5999999999999999,0.0,7,2021
Positively surprised!,All was good,A bit small rooms,9.0,Michał,Malta,Double Room with Balcony,1 night,2021-07-01,Group,"thank you so much for your nice comments and for the score; we were happy welcoming you; not all rooms have the same size, your room was a little bit small, as your stay was during a weekend and the hotel was fully booked; we hope to see you another time and to provide you a bigger room.",good,bit small room,positive,0.7,-0.25,7,2021
Stay!,"Perfect play renovated to relax! The owners (mum&children from lebanon) are very kind and ready to help even they invite you to sit with them and relax with a drink at night! The rooms are brand new very good bedding!
Furthermore, i can speak about richard the chef of the hotel! He makes you feel like you know each other years before..!he is kind polite ready to help you with whatever you want to eat and drink! Delicious food and 5* facilities! Keep going guys and for sure is my favourite place for holidays!",Nothing!,10.0,Chris,Cyprus,Double Room with Balcony,4 nights,2021-07-01,Solo traveler,Thank you so much for your nice and details comments and for the great score; your stay with us was amazing; we also felt as if we knew you long time; we are happy you liked the food as well. hope to see you again.,perfect play renov relax owner mumchildren lebanon kind readi help even invit sit relax drink night room brand new good bed furthermor speak richard chef hotel make feel like know year beforeh kind polit readi help whatev want eat drink delici food facil keep go guy sure favourit place holiday,noth,positive,0.5893939393939395,0.0,7,2021
good city hotel for a reasonable price,"New hotel  - so everything is modern and clean (and good bed linen, furniture)
5 minutes walk to Makkenzy beach (with planes landing just above you)
Staff is very polite and friendly
30 minutes walk to city center (10 minutes bus drive)","The lock on the balcony's door was broken (however they sayd ""we repaired it"" when I asked it wasn't done, the lock wasn't closing as it should)
I see it as a problem, cause with the door unlocked theoretically anyone could open the door from the balcony and the noise from the street was entering to my room through the ""crack"".
I almost broke the showers door, cause when you open the shower the door touches the toilet",8.0,Yuliya,Israel,Double Room with Balcony,5 nights,2021-07-01,Solo traveler,"thank you so much for your nice comments; regarding the lock, basically it is not broken but it need a little adjustment in order to make the closing more soft; we repair it after your check-out. we are sorry for this inconvenience.",new hotel everyth modern clean good bed linen furnitur minut walk makkenzi beach plane land staff polit friendli minut walk citi center minut bu drive,lock balconi door broken howev sayd repair ask wasnt done lock wasnt close see problem caus door unlock theoret anyon could open door balconi nois street enter room crack almost broke shower door caus open shower door touch toilet,positive,0.2606060606060606,-0.10833333333333334,7,2021
Great location,"Nice  modern bedroom, nice greek breakfast and hotel great location, shame i only stayed one night",,8.0,Paul,United Kingdom,Double Room with Balcony,1 night,2021-07-01,Solo traveler,thank you so much for your nice comments; we were happy welcoming you at the hotel; hope to see you again.,nice modern bedroom nice greek breakfast hotel great locat shame stay one night,,positive,0.44000000000000006,0.0,7,2021
Exceptional,A wonderful place run by wonderful people!,,10.0,Isaac,Switzerland,Double Room with Balcony,2 nights,2021-07-01,Solo traveler,"Thank you so much for your wonderful comment and for the great score; you are a wonderful guest, we  felt as if we knew you long time; . hope to see you again soon.",wonder place run wonder peopl,,positive,0.0,0.0,7,2021
"Excellent hotel with great service, very clean and great food!","This hotel was excellent and exceeded all my expectations. The restaurant had delicious food, the service was incredible, rooms were to a very high standard and clean. I am very pleased to stay here and grateful for the staff, they have been helpful, kind and professional. I highly recommend this hotel.",,10.0,Ghada,Bahrain,Double Room with Balcony,1 night,2021-07-01,Solo traveler,"Thank you so much , we are happy that your are pleased and comfortable; thanks for your kind words and comments;  hope to see you again.",hotel excel exceed expect restaur delici food servic incred room high standard clean pleas stay grate staff help kind profession highli recommend hotel,,positive,0.2816666666666667,0.0,7,2021
Best hotel in Cyprus,"If I could give more than a rating of 10 I would. 
The location is amazing. Being close to the airport in Larnaka makes travelling easier. Also being right next to the Salt Lake is a must-see especially if there is a good sunset. 
Within a 10 minute walk you can be on MacKenzie beach which is well maintained and cleaner than other beaches we seen in Larnaka. Rebuke lounge at the beach is worth visiting for the quality of food and decor. 
The hotel is next to a bus stop for travelling between downtown and other locations. Very handy since we didn’t hire a car. 
The staff make this hotel great. They are friendly, warm, helpful. Always willing to do more to make the guest have a better stay. 
The recently renovated room is about as clean as it could be. The facilities are modern and new. The shower is amazing for couples to use together. The balcony is a nice addition to an already fresh, well presented room. 
The double bed is extremely comfortable and the new bedding was a delight. It is hard to get a comfortable sheet to sleep with in a country as warm as Cyprus but we were happy with everything offered by the hotel. 
The minibar was extremely reasonably priced and well stocked. 
Aircon perfect, easy to use. 
Wifi great when we used it. 
We didn’t take advantage of the pool in the hotel only because we ran out of time but on another trip we would have done so. 
The front of the hotel is an extremely nice place to unwind in the evening.",Minor point: a bar for hanging clothes in the room was the only thing we felt was missing to improve our stay.,10.0,James,United Kingdom,Double Room with Balcony,3 nights,2021-07-01,Couple,"thank you,  thank you soo much, we really appreciated your comments and the detailed description; you are amazing, we are glad you enjoyed your stay with us, we were so happy  having you as our guests; hope to see you another time. and again, thanks for every detail you wrote about us and the hotel.",could give rate would locat amaz close airport larnaka make travel easier also right next salt lake mustse especi good sunset within minut walk mackenzi beach well maintain cleaner beach seen larnaka rebuk loung beach worth visit qualiti food decor hotel next bu stop travel downtown locat handi sinc didn’t hire car staff make hotel great friendli warm help alway will make guest better stay recent renov room clean could facil modern new shower amaz coupl use togeth balconi nice addit alreadi fresh well present room doubl bed extrem comfort new bed delight hard get comfort sheet sleep countri warm cypru happi everyth offer hotel minibar extrem reason price well stock aircon perfect easi use wifi great use didn’t take advantag pool hotel ran time anoth trip would done front hotel extrem nice place unwind even,minor point bar hang cloth room thing felt miss improv stay,positive,0.3634972170686456,-0.05,7,2021
Exceptional,perfect,,10.0,Giannis,Cyprus,Double Room with Balcony,1 night,2021-06-01,Group,,perfect,,positive,1.0,0.0,6,2021
Exceptional,"Superbly refurbished, with high-tech displays “clean/DnD” outside.",Taller people be careful of doorway leading to elevator - being 190 i head-bumped…,10.0,Leonid,Lithuania,Double Room with Balcony,3 nights,2021-06-01,Solo traveler,thank you for your nice comments; nice remark for tall people :),superbl refurbish hightech display “cleandnd” outsid,taller peopl care doorway lead elev headbumped…,positive,0.0,0.0,6,2021
Memorable stay,"The bed, the customer service",,10.0,Tamba,Ireland,Double Room with Balcony,2 nights,2021-07-01,Group,thank you; we are glad you had a comfortable stay at our hotel!,bed custom servic,,positive,0.0,0.0,7,2021
Wonderful,"Great staff, very clean and modern rooms, great value",,9.0,Jami,United States of America,Two-Bedroom Suite,4 nights,2021-06-01,Family,thank you very much for your nice comments; hope to see you and your lovely family another time at La veranda hotel.,great staff clean modern room great valu,,positive,0.5416666666666667,0.0,6,2021
Exceptional Stay!!,"Walking distance from the Mackenzie beach, beach lounges and restaurants.. the hotel and room were super clean. The staff were really welcoming and breakfast was awesome. Would definitely book again upon my next visitz",,10.0,Guy,Germany,Double Room with Balcony,1 night,2021-06-01,Couple,Thank you very much for your kind comments; we are happy you enjoyed your stay; we were happy to serve you; hope to see you again,walk distanc mackenzi beach beach loung restaur hotel room super clean staff realli welcom breakfast awesom would definit book upon next visitz,,positive,0.2333333333333333,0.0,6,2021
Value for money,We liked everything! The staff and hosts were great! Quiet place! Pet friendly! Will visit again for sure! Value for money! Just an amazing place.,,10.0,Theofano,Cyprus,Double Room with Balcony,1 night,2021-06-01,Group,thank you very much for your kind comments; we are happy you like everything here; we were happy to serve you; hope to see you again,like everyth staff host great quiet place pet friendli visit sure valu money amaz place,,positive,0.43333333333333335,0.0,6,2021
Great option for overnight stay near LCA airport,"Close to airport - just 7-10 min by taxi (15€). Clean, fresh rooms with all you need for overnight stay. Very friendly staff.",The bottle with hair/body wash was empty. Aircon had just one uncontrolled speed. There were no adapters for CY sockets. The blanket was too warm for summer night.,8.0,Sergey,Russia,Double Room with Balcony,1 night,2021-06-01,Couple,"thank you for your nice review; we are sorry for not filling the soap bottle; the air condition has multiple speed, we wished you asked us to show you how change the speed; we brought more CY sockets for our guests. hope to see you again, we will do our best to make your next visit more comfortable.",close airport min taxi € clean fresh room need overnight stay friendli staff,bottl hairbodi wash empti aircon one uncontrol speed adapt cy socket blanket warm summer night,positive,0.33333333333333337,0.6,6,2021
Wonderful,Very nice and kind stuff! Breakfast was tasty and excellent.,,9.0,Viktor,Bulgaria,Double Room with Balcony,1 night,2021-06-01,Solo traveler,thank you very much for your kind review; we are happy you had a great stay and great breakfast,nice kind stuff breakfast tasti excel,,positive,0.6,0.0,6,2021
Exceptional,"Everything. Very friendly and helpful staff, comfortable rooms, great location. Highly recommend.",Nothing,10.0,Dmytro,Ireland,Double Room with Balcony,1 night,2021-06-01,Solo traveler,thank you very much for your kind comments ; we are happy you were comfortable; thank you for recommending our hotel; hope to see you another time,everyth friendli help staff comfort room great locat highli recommend,noth,positive,0.8,0.0,6,2021
STAY WAS GOOD,A LITTLE BIT FAR FROM SEA,,10.0,Evgeny,Israel,Double Room with Balcony,1 night,2021-06-01,Solo traveler,"Thank you for the rating you provided; regarding the access to the beach, actually there is a shorcut from our hotel to Makenzie beach with a distance of 250meter. We would be happy to welcome you another time at La Veranda hotel and we show the shortcut to the beach.",littl bit far sea,,positive,0.1,0.0,6,2021
Highly Recommend,"My stay was fantastic, steps to Makenzy beach, cafés, and restaurants. Easy access to nightlife. The building is very clean and made for a comfortable stay. The staff made me feel welcome and was very helpful when asking about things to do. Definitely will be back!",I wish I stayed longer!,10.0,Jayk,Canada,Double Room with Balcony,1 night,2021-05-01,Solo traveler,thank you very much for your great review; hope to see you another time and to stay with us longer,stay fantast step makenzi beach café restaur easi access nightlif build clean made comfort stay staff made feel welcom help ask thing definit back,wish stay longer,positive,0.18333333333333335,0.0,5,2021
Amazing little hotel spotless clean and new,"This hotel is very new and completely renovated. It’s spotless clean, comfortable and very good service from the family that owns it.
We felt very welcome. The room is completely new and very clean. The mini bar was really well equipped and very cheap. Free parking, close to the city and very accessible by any transportation.",,10.0,Johan,Denmark,Double Room with Balcony,1 night,2021-05-01,Couple,"Thank you sir for your kind words, we are happy you had a pleasant stay; it was our pleasure to welcome you at our hotel , looking forward to see another time.",hotel new complet renov it’ spotless clean comfort good servic famili own felt welcom room complet new clean mini bar realli well equip cheap free park close citi access transport,,positive,0.38825757575757575,0.0,5,2021
Everything was beyond my expectations. Perfect stay for vacation as well as business travelers.,I had a wonderful experience at La Veranda hotel. Staff was amazing and very welcoming. Rooms are so clean and comfortable with variety of snacks at very affordable price. Walking distance from the beach and very easy access to public transportation,Nothing,10.0,Miguel,United Arab Emirates,Double Room with Balcony,1 night,2021-05-01,Solo traveler,"thank you for your nice comments, we are happy that you had a great stay exceeding your expectations; hope to have the chance of welcoming you at our hotel another time.",wonder experi la veranda hotel staff amaz welcom room clean comfort varieti snack afford price walk distanc beach easi access public transport,noth,positive,0.18333333333333335,0.0,5,2021
Close to the airport and salt lake - amazing breakfast!,Family room that fits a family of five. Fantastic breakfast. Close to jogging trails along the lake and close to the airport. Plus a super friendly staff.,,7.0,David,United States of America,Suite with Balcony,1 night,2022-11-01,Family,,famili room fit famili five fantast breakfast close jog trail along lake close airport plu super friendli staff,,neutral,0.3666666666666667,0.0,11,2022
"The staff were very friendly, a nice clean simple place to stay as a base.  Nothing else.","The room sizes were excellent for the wheelchair.
The hotel was airy and light.
The hotel was nice and very clean.  It was the reason why I booked (the reviews).
It was great accessibility to where we wanted to be.","The breakfast could have had more variety.  They had no cereal on offer at all.  They had no ordinary tea on offer.  It was al Earl Grey. No proper plan tea.
This hotel is accessible to wheelchairs but there ramps are not to EU regulations.  VERY STEEP.  They really need to sort this.  The ramp right outside is very dangerous.  I am surprised I wasn't wheeled of this ramp.  I think booking.com should investigate this.",5.0,Nicky,United Kingdom,Double Room with Balcony,5 nights,2022-11-01,Group,"Thank you for your review, the ramp near the main entrance door is for the luggage and not for the wheelchair. 
The ramp for the wheelchair is at the other side of the hotel but it was occasionally under renovation as it was accidentally broken by a van. However, there is another wheelchair access near the outside steel ledder (same as the night access to the hotel). We wished you have raised this point at the reception, we could have clarified this for you.
We are sorry for this inconvenience.",room size excel wheelchair hotel airi light hotel nice clean reason book review great access want,breakfast could varieti cereal offer ordinari tea offer al earl grey proper plan tea hotel access wheelchair ramp eu regul steep realli need sort ramp right outsid danger surpris wasnt wheel ramp think bookingcom investig,neutral,0.5416666666666667,0.07857142857142857,11,2022
It was all right but i think.the price could have been cheaper .,I Didn't eat at hotel .comfortable bed lovely soft duvet and pillows.good shower,2 times noise in week 4 a.m from people picking rubbish into large lorries .,7.0,Regina,United Kingdom,Double Room with Balcony,6 nights,2022-11-01,Solo traveler,,didnt eat hotel comfort bed love soft duvet pillowsgood shower,time nois week peopl pick rubbish larg lorri,neutral,0.3,0.0,11,2022
"very clean, friendly and exceptionally helpful staff.",spotlessly clean and the staff were so helpful.,it was not on the beach front as we were under the impression it was.,7.0,Sally,United Kingdom,Double Room with Balcony,1 night,2022-11-01,Group,,spotlessli clean staff help,beach front impress,neutral,0.3666666666666667,0.0,11,2022
Pleasant,very clean,not enough pillows,6.0,Joanna,United Kingdom,Budget Twin Room,1 night,2022-11-01,Group,"Thank you for your comments; you could rather ask for extra pillows, we would be happy to provide you.",clean,enough pillow,neutral,0.3666666666666667,0.0,11,2022
Pleasant,Quiet location.,"Bed was very soft and uncomfortable for me.
Parking was very limited.",6.0,Charis,Cyprus,Double Room with Balcony,1 night,2022-10-01,Solo traveler,,quiet locat,bed soft uncomfort park limit,neutral,0.0,0.1,10,2022
Good,"Everything was pretty good, and as expected","Windows should be closed, as the front building looks right into your room.",7.0,Davit,Armenia,Budget Twin Room,1 night,2022-10-01,Family,,everyth pretti good expect,window close front build look right room,neutral,0.7,0.2857142857142857,10,2022
Pleasant,The room was large and had a nice balcony. The bus stop into town was around the corner.,There was nothing close by for a mini Mart. The restaurant was decent.,6.0,Markos,United States of America,Double Room with Balcony,2 nights,2022-08-01,Solo traveler,,room larg nice balconi bu stop town around corner,noth close mini mart restaur decent,neutral,0.6,0.16666666666666666,8,2022
Good,Clean and comfortable. Cute balconies. Short walk to Mckenzie beach.,Street parking.,7.0,Cemre,Cyprus,Two-Bedroom Suite,1 night,2022-09-01,Group,,clean comfort cute balconi short walk mckenzi beach,street park,neutral,0.2888888888888889,0.0,9,2022
Disappointing,"I really liked how polite and friendly the staff was, and I also liked the size of the room an the bed","There are various things I would love to see improved, listed here:
- the shower of our room is very inconviniently placed, making a mess because of insufficient coverage of the bathroom glass
- the edges of the shower (between wall tiles and the shower floor) need replacement - they are hollow and seem moldy
- the bin is rusty
- the mirror is weirdly placed, on the right of the sink
- due to the placement of the curtains, a lot of light gets in the room in the morning
- there is no designated parking, you just park wherever you find
- we have requested late check out (1pm) which we got and we appreciate it. However, we got a call that prompted us to check out at the normal time (12pm) as the next customers would arrive. I exllained thay we have been granted late check out and the clerk apologised. No problem for this, but I find it important to keep staff updated about these things.",4.0,Sokratis,Cyprus,Double Room with Balcony,1 night,2022-09-01,Couple,,realli like polit friendli staff also like size room bed,variou thing would love see improv list shower room inconvini place make mess insuffici coverag bathroom glass edg shower wall tile shower floor need replac hollow seem moldi bin rusti mirror weirdli place right sink due placement curtain lot light get room morn design park park wherev find request late check pm got appreci howev got call prompt u check normal time pm next custom would arriv exllain thay grant late check clerk apologis problem find import keep staff updat thing,negative,0.0,0.03357142857142857,9,2022
Good,Near to the airport,There was some kind of unpleasant smell in the bathroom,7.0,Sonja,Germany,Standard Triple Room,1 night,2022-09-01,Family,,near airport,kind unpleas smell bathroom,neutral,0.1,0.6,9,2022
Poor,close to the airports,this is a guesthouse that is priced like a hotel,3.0,Lior,Israel,Two-Bedroom Suite,1 night,2022-09-01,Family,,close airport,guesthous price like hotel,negative,0.0,0.0,9,2022
Overpriced for such small room,"Maria and Richard are really great hosts! Very kind and hospitable. Maria has offered an adapter immediately.
The room was perfectly clean.
This is a good transitioning for one night, like I had. Or just to sleep over.
Central location.","Size of the room is one of the smallest I have ever seen. There is no space for the suitcase  nor a wardrobe. No sitting area.
There is a terrace which Sun hits all the time, except for the early morning.
For that money for which I used to pay better hotels in Valencia  you get one small water bottle.",4.0,Dragan,Egypt,Double Room with Balcony,1 night,2022-08-01,Family,,maria richard realli great host kind hospit maria offer adapt immedi room perfectli clean good transit one night like sleep central locat,size room one smallest ever seen space suitcas wardrob sit area terrac sun hit time except earli morn money use pay better hotel valencia get one small water bottl,negative,0.49333333333333335,0.125,8,2022
Good,"It was clean, the beds were comfortable.",For what you get it was a bit expensive. The rooms were a bit small for a suite. No breakfast included. We tried it one time at their restaurant and it was low quality compared to an original greek breakfast. Didn't eat there again.,7.0,La_venia,Germany,Two-Bedroom Suite,4 nights,2022-08-01,Couple,,clean bed comfort,get bit expens room bit small suit breakfast includ tri one time restaur low qualiti compar origin greek breakfast didnt eat,neutral,0.3666666666666667,-0.08333333333333333,8,2022
Not a good night's sleep!,"Very friendly people.
Very spacious and clean room.
Very close to the Larnaka airport as we needed it to be.","The duvet was for the winter and even with 23 degrees Celsius on the a/c it was unbearable!
No simple sheets on the bed either...
Our only other choice was to close the a/c an go without covers but we could not open the windows because it was very very noisy. 
Also the windows had no soundproofing whatsoever because the noise was too much!!
We gave the duvet a chance up to 3 am and then got up and opened the windows when the noise went down. We had to leave to catch a flight at 5am... Not a good night's sleep!!!
Also the room had a hair dryer and a kettle that we could not use because the plugs did not fit the sockets and the hotel didn't provide adaptors... So no use of that service in the room either!",6.0,Maria,Cyprus,Double Room with Balcony,1 night,2022-07-01,Couple,,friendli peopl spaciou clean room close larnaka airport need,duvet winter even degre celsiu ac unbear simpl sheet bed either choic close ac go without cover could open window noisi also window soundproof whatsoev nois much gave duvet chanc got open window nois went leav catch flight am good night sleep also room hair dryer kettl could use plug fit socket hotel didnt provid adaptor use servic room either,neutral,0.3666666666666667,0.25999999999999995,7,2022
