cleaned_positive,polarity_positive,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
could give rate would locat amaz close airport larnaka make travel easier also right next salt lake mustse especi good sunset within minut walk mackenzi beach well maintain cleaner beach seen larnaka rebuk loung beach worth visit qualiti food decor hotel next bu stop travel downtown locat handi sinc didn’t hire car staff make hotel great friendli warm help alway will make guest better stay recent renov room clean could facil modern new shower amaz coupl use togeth balconi nice addit alreadi fresh well present room doubl bed extrem comfort new bed delight hard get comfort sheet sleep countri warm cypru happi everyth offer hotel minibar extrem reason price well stock aircon perfect easi use wifi great use didn’t take advantag pool hotel ran time anoth trip would done front hotel extrem nice place unwind even,0.3634972170686456,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2021
perfect,1.0,positive,10.0,Cyprus,Double Room with Balcony,Group,6,2021
superbl refurbish hightech display “cleandnd” outsid,0.0,positive,10.0,Lithuania,Double Room with Balcony,Solo traveler,6,2021
bed custom servic,0.0,positive,10.0,Ireland,Double Room with Balcony,Group,7,2021
great staff clean modern room great valu,0.5416666666666667,positive,9.0,United States of America,Two-Bedroom Suite,Family,6,2021
walk distanc mackenzi beach beach loung restaur hotel room super clean staff realli welcom breakfast awesom would definit book upon next visitz,0.2333333333333333,positive,10.0,Germany,Double Room with Balcony,Couple,6,2021
like everyth staff host great quiet place pet friendli visit sure valu money amaz place,0.43333333333333335,positive,10.0,Cyprus,Double Room with Balcony,Group,6,2021
close airport min taxi € clean fresh room need overnight stay friendli staff,0.33333333333333337,positive,8.0,Russia,Double Room with Balcony,Couple,6,2021
nice kind stuff breakfast tasti excel,0.6,positive,9.0,Bulgaria,Double Room with Balcony,Solo traveler,6,2021
everyth friendli help staff comfort room great locat highli recommend,0.8,positive,10.0,Ireland,Double Room with Balcony,Solo traveler,6,2021
littl bit far sea,0.1,positive,10.0,Israel,Double Room with Balcony,Solo traveler,6,2021
stay fantast step makenzi beach café restaur easi access nightlif build clean made comfort stay staff made feel welcom help ask thing definit back,0.18333333333333335,positive,10.0,Canada,Double Room with Balcony,Solo traveler,5,2021
hotel new complet renov it’ spotless clean comfort good servic famili own felt welcom room complet new clean mini bar realli well equip cheap free park close citi access transport,0.38825757575757575,positive,10.0,Denmark,Double Room with Balcony,Couple,5,2021
wonder experi la veranda hotel staff amaz welcom room clean comfort varieti snack afford price walk distanc beach easi access public transport,0.18333333333333335,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,5,2021
famili room fit famili five fantast breakfast close jog trail along lake close airport plu super friendli staff,0.3666666666666667,neutral,7.0,United States of America,Suite with Balcony,Family,11,2022
room size excel wheelchair hotel airi light hotel nice clean reason book review great access want,0.5416666666666667,neutral,5.0,United Kingdom,Double Room with Balcony,Group,11,2022
didnt eat hotel comfort bed love soft duvet pillowsgood shower,0.3,neutral,7.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2022
spotlessli clean staff help,0.3666666666666667,neutral,7.0,United Kingdom,Double Room with Balcony,Group,11,2022
clean,0.3666666666666667,neutral,6.0,United Kingdom,Budget Twin Room,Group,11,2022
quiet locat,0.0,neutral,6.0,Cyprus,Double Room with Balcony,Solo traveler,10,2022
everyth pretti good expect,0.7,neutral,7.0,Armenia,Budget Twin Room,Family,10,2022
room larg nice balconi bu stop town around corner,0.6,neutral,6.0,United States of America,Double Room with Balcony,Solo traveler,8,2022
clean comfort cute balconi short walk mckenzi beach,0.2888888888888889,neutral,7.0,Cyprus,Two-Bedroom Suite,Group,9,2022
realli like polit friendli staff also like size room bed,0.0,negative,4.0,Cyprus,Double Room with Balcony,Couple,9,2022
near airport,0.1,neutral,7.0,Germany,Standard Triple Room,Family,9,2022
close airport,0.0,negative,3.0,Israel,Two-Bedroom Suite,Family,9,2022
maria richard realli great host kind hospit maria offer adapt immedi room perfectli clean good transit one night like sleep central locat,0.49333333333333335,negative,4.0,Egypt,Double Room with Balcony,Family,8,2022
clean bed comfort,0.3666666666666667,neutral,7.0,Germany,Two-Bedroom Suite,Couple,8,2022
friendli peopl spaciou clean room close larnaka airport need,0.3666666666666667,neutral,6.0,Cyprus,Double Room with Balcony,Couple,7,2022
use locat hotel citi centr airport restaur stay open reason late could eat even arriv cypru,-0.15,neutral,7.0,United Kingdom,Double Room,Solo traveler,4,2022
friendli staff modern room,0.2,neutral,6.0,Germany,Double Room with Balcony,Solo traveler,4,2022
break fast perfect room perfect issu internet locat bit far center quit area around,0.44000000000000006,neutral,7.0,Denmark,Double Room,Solo traveler,3,2022
breakfast fill locat tabl front u funni question,0.0,neutral,7.0,United Kingdom,Two-Bedroom Suite,Family,3,2022
clean room friendli staff,0.3666666666666667,neutral,5.0,United Kingdom,Double Room,Solo traveler,1,2022
nice clean,0.48333333333333334,neutral,6.0,United Kingdom,Double Room with Balcony,Couple,11,2021
nice clean littl hotel next airport,0.32222222222222224,neutral,7.0,Poland,Standard Triple Room,Family,10,2021
locat good didnt breakfast even meal poor isnt realli bar restaur,0.14999999999999997,neutral,6.0,Cyprus,Double Room with Balcony,Solo traveler,11,2021
staff love,0.5,neutral,7.0,United Kingdom,Double Room,Solo traveler,11,2021
clean room good locat makenzi beach comfort bed staff excel,0.5333333333333333,neutral,7.0,United Kingdom,Double Room with Balcony,Couple,10,2021
close airport,0.0,neutral,7.0,Netherlands,Double Room with Balcony,Couple,10,2021
friendli help staff room cleanli,0.0,neutral,7.0,Jordan,Double Room with Balcony,Solo traveler,9,2021
properti perfectli locat close airport close famou makenzi beach neat modern hotel facil,0.2,neutral,5.0,Cyprus,Double Room with Balcony,Solo traveler,9,2021
chose hotel it’ proxim airport one night stay straight flight travel onward next morn area easi find car hire use googl map friendli welcom staff easi checkin hotel spotlessli clean covid prevent measur taken never ate cold beer avail need bar downstair minibar room quiet neighbourhood sure what’ nearbi etc away earli next morn would certainli recommend type trip probabl use next time,0.058333333333333334,neutral,7.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
close mackenzi beach,0.0,negative,1.0,United Kingdom,Family Suite with Balcony,Couple,9,2021
,0.0,neutral,7.0,Poland,Double Room with Balcony,Solo traveler,8,2021
it’ clean easili pa one night fli back,0.18333333333333335,neutral,5.0,Switzerland,Family Suite with Balcony,Family,8,2021
locat good room well maintain conveni taxi citi centerairport beach peac good coupl backpack sandwich hummu chef delici mr toni fabul job keep place spotless make guest comfort help amaz thank hotel work hard keep good condit,0.4520833333333333,neutral,7.0,United Arab Emirates,Standard Triple Room,Group,7,2021
like quiet it’ close airport,0.0,neutral,7.0,Qatar,Double Room,Solo traveler,8,2021
basic night stay facil limit,0.0,neutral,5.0,United Arab Emirates,Double Room with Balcony,Solo traveler,7,2021
comfort bed room new comfort,0.13636363636363635,neutral,7.0,France,Double Room with Balcony,Couple,7,2021
locat excel staff polit room clean upon arriv,0.3666666666666667,neutral,7.0,Greece,Double Room with Balcony,Solo traveler,7,2021
peopl work kind respons,0.6,negative,4.0,United States of America,Standard Triple Room,Family,7,2021
excel locat clean modern,0.2833333333333333,positive,10.0,United Kingdom,,Family,7,2022
cleanli,0.0,positive,9.0,United Kingdom,,Family,6,2022
room nice clean two bed set request,0.48333333333333334,positive,8.0,United Kingdom,,Group,6,2022
room fresh clean modern shown photo calm area close beach mani restaur coffe shop bu station close breakfast expect,0.2916666666666667,positive,10.0,United States of America,,Solo traveler,11,2021
hotel close airport nice place stay arriv late night,0.15,positive,8.0,Russia,,Family,10,2021
like happi smile welcom greet arriv properti unfortun didnt time tri breakfast earli flight look amaz definit return thoroughli recommend properti thank much,0.25,positive,10.0,Hungary,,Solo traveler,9,2021
nice staff room nice clean,0.5222222222222223,positive,9.0,Czech Republic,,Solo traveler,9,2021
help knowledg staff room updat clean,0.3666666666666667,positive,10.0,Australia,,Group,9,2021
nice clean perfect overnight stay owner nice friendli,0.6416666666666667,positive,8.0,United Kingdom,,Family,8,2021
clean modern room comfort bed good shower help staff except valu money close beach,0.4222222222222222,positive,10.0,United Kingdom,,Solo traveler,8,2021
friendli atmospher famili busi feel like home huge delici breakfast hotel comfort definit come,0.39999999999999997,positive,10.0,Germany,,Family,7,2021
friendli staff servic nice room clean,0.48333333333333334,positive,10.0,Cyprus,,Solo traveler,6,2021
clean smart devic,0.2904761904761905,negative,1.0,Cyprus,,Couple,9,2021
nice,0.6,positive,8.0,Israel,Double Room with Balcony,Solo traveler,12,2022
hotel locat close airport bu good frequenc street next airport close citi center hotel locat deadend quiet street plenti park room clean staff hotel toni nice gave pleasant feel immedi book receiv whatsapp confirm time arriv inform wait u,0.32857142857142857,positive,10.0,Israel,Double Room with Balcony,Group,12,2022
kind staff size room locat,0.6,positive,10.0,Israel,Double Room,Family,12,2022
kind staff locat cleanli room,0.6,positive,10.0,Israel,Double Room,Family,12,2022
friendli clean hotel function furnish balconi courtyard street view good breakfast directli hotel paid separ variou option eur friendli host proxim airport km beach includ numer restaur m,0.5333333333333333,positive,10.0,Switzerland,Double Room with Balcony,Solo traveler,11,2022
french speak compet staff,0.0,positive,9.0,France,Double Room,Couple,11,2022
cleanest place stay cypru staff kind welcom,0.6,positive,10.0,Israel,Double Room,Solo traveler,11,2022
pleasant accommod help recept cleanli,0.7333333333333334,positive,8.0,Slovakia,Standard Triple Room,Family,11,2022
staff extrem friendli alway happi help need alway readi answer question good locat close airport especi earli late flight also close beach,0.19999999999999998,positive,9.0,Bulgaria,Two-Bedroom Suite,Group,9,2022
nice room clean conveni close airport kind help staff dinner even good,0.5666666666666667,positive,8.0,France,Double Room,Family,11,2022
kind staff delici food impecc cleanli thank,0.6,positive,10.0,Romania,Double Room,Family,11,2022
room clean spaciou mattress pillow excel,0.3666666666666667,positive,9.0,Israel,Double Room with Balcony,Family,11,2022
pleasant staff,0.7333333333333334,positive,10.0,France,Double Room with Balcony,Family,11,2022
everyth great,0.8,positive,10.0,Austria,Budget Twin Room,Group,10,2022
nice comfort small room earli novemb good avail free park space bottom hotel beach minut walk airport minut bu friendli staff good advic,0.4299999999999999,positive,9.0,France,Double Room,Solo traveler,11,2022
proxim airport excel cuisin,0.0,positive,10.0,Belgium,Family Suite with Balcony,Family,11,2022
practic room balconi room good locat airport listen staff,0.7,positive,8.0,France,Two-Bedroom Suite,Family,10,2022
hotel near airport ideal late arriv earli departur,0.2333333333333333,positive,8.0,France,Standard Triple Room,Family,11,2022
wonder hotel staff photo,0.0,positive,10.0,Russia,Double Room,Solo traveler,10,2022
good accommod perfect locat minut airport,0.85,positive,9.0,Greece,Double Room,Couple,10,2022
great locat minut bu airport minut walk beach cafe beach take minut walk along promenad citi nice hotel good staff friendli,0.6999999999999998,positive,10.0,Israel,Family Suite with Balcony,Family,9,2022
great locat close airport friendli servic delici breakfast,0.8,positive,9.0,Poland,Suite with Balcony,Family,10,2022
stay laveranda hotel one night end cypru trip close airport possibl last night perfect room nice furnish super clean bu connect citi center around corner abl get back hotel later even without problem use public transport locat also perfect trip airport next morn mackenzi beach super close lot cool bar restaur,0.2987179487179487,positive,9.0,Austria,Standard Triple Room,Couple,10,2022
great welcom pleasant contact help,0.7666666666666667,positive,9.0,France,Double Room with Balcony,Family,10,2022
everyth good,0.7,positive,10.0,Ukraine,Double Room,Couple,10,2022
accommod good central problem find locat alley googl map went crazi understand sent photo locat street,0.35,positive,8.0,Spain,Two-Bedroom Suite,Family,9,2022
hotel clean close airport simpl comfort room see care place,0.3666666666666667,positive,9.0,Israel,Two-Bedroom Suite,Family,10,2022
nice clean neat super sweet host,0.4125,positive,10.0,Denmark,Double Room,Family,10,2022
close field staff nice room rest pleasant clean renov bed comfort shower,0.5666666666666668,positive,10.0,Israel,Double Room,Family,10,2022
everyth perfect boutiqu hotel,1.0,positive,10.0,Israel,Double Room with Balcony,Group,10,2022
breakfast good,0.7,positive,8.0,Germany,Budget Twin Room,Couple,9,2022
cleanli locat simpl modern furnish new like whole structur,0.1787878787878788,positive,9.0,Italy,Double Room with Balcony,Solo traveler,9,2022
hotel modernli furnish room spaciou enough abovestandard larg bathroom use breakfast earli departur staff recept willingli arrang ride airport u,0.0,positive,9.0,Czech Republic,Double Room,Couple,10,2022
everyth nice,0.6,positive,9.0,Italy,Double Room with Balcony,Couple,10,2022
excel welcom clean quiet hotel well locat airport,0.18333333333333335,positive,10.0,France,Double Room,Solo traveler,9,2022
proxim airport clean cheap,0.38333333333333336,positive,8.0,Israel,Double Room,Family,10,2022
new clean recept,0.2515151515151515,positive,10.0,Italy,Double Room,Family,10,2022
excel locat way tofrom larnaca airport warm cordial hospit,0.6,positive,9.0,Israel,Double Room with Balcony,Family,10,2022
place close airport easi get arriv late direct clear easi place clean everyth exactli expect short distanc promenad find nice restaur beach,0.14444444444444446,positive,8.0,Israel,Two-Bedroom Suite,Family,10,2022
clean hotel kind staff close airport,0.48333333333333334,positive,10.0,Israel,Standard Triple Room,Family,10,2022
wellkept small hotel extraordinarili courteou host wed love come back,0.08333333333333333,positive,9.0,Austria,Budget Twin Room,Couple,9,2022
friendli staff,0.0,positive,10.0,France,Double Room,Solo traveler,10,2022
manag friendli hotel good qualiti,0.7,positive,9.0,France,Double Room,Couple,10,2022
clean close beach close field intim quiet,0.18333333333333335,positive,10.0,Israel,Standard Triple Room,Family,10,2022
excel welcom owner speak fluent french quiet hotel extrem well locat airport larnaca salt lake unbeat valu money think perfect good dinner love waiter night transit return franc perfect didnt breakfast leav am,0.5333333333333333,positive,10.0,France,Budget Twin Room,Family,10,2022
cleanli welcom possibl breakfast site drink snack,0.0,positive,10.0,France,Double Room with Balcony,Family,10,2022
clean well organ noth miss pleasant balconi nice host comfort mattress,0.5666666666666668,positive,9.0,Israel,Double Room with Balcony,Couple,10,2022
perfect hotelwelcom help staffth room spaciousand cleanth restaur varieda well locat close airport beach well mani restaur snacksi resel pleasurei recommend hotel thank toni welcom smile rare,0.5333333333333333,positive,10.0,France,Double Room with Balcony,Family,10,2022
small beauti clean room accommod u earlier checkin earlier checkout problem later checkin either small lunch delici staff nice short distanc beach also found starfish hotel arrang transfer airport u,0.058333333333333334,positive,10.0,Czech Republic,Double Room,Couple,9,2022
hotel locat close larnaca airport help staff room everyth need also bathroom clean cozi,0.3666666666666667,positive,10.0,Israel,Double Room,Couple,9,2022
friendli staff good walk distanc mackenzi beach highli recommend breakfast offer free park front hotel along street,0.55,positive,8.0,Germany,Double Room with Balcony,Group,8,2022
clean good hotel servic also great,0.6222222222222222,positive,10.0,Belgium,Suite with Balcony,Family,8,2022
great accommod excel valu money addit well locat near larnaca airport mckenzi beach fulli recommend staff extrem friendli,0.45,positive,10.0,Honduras,Double Room with Balcony,Solo traveler,9,2022
friendli staff cleanli nice room,0.6,positive,10.0,Hungary,Two-Bedroom Suite,Solo traveler,9,2022
cleanlinesstowel designfurnitur staff,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
modern furnish clean room friendli staff nice restaur hous great coffe close citi center airport sea priceperform total right,0.3074829931972789,positive,10.0,Switzerland,Double Room,Family,9,2022
locat close airport promenad sea clean tidi comfort beauti room courteou welcom servic return highli recommend,0.3666666666666667,positive,10.0,Israel,Double Room with Balcony,Couple,9,2022
stay liter hour welcom pleasant help u order taxi airport,0.7333333333333334,positive,8.0,Israel,Double Room,Solo traveler,9,2022
breakfast leav earli howev restaur even perfect cook particularli affabl fast delici irreproach servic real lebanes tabbouleh hearti recommend restaur much hotel,0.39999999999999997,positive,10.0,France,Double Room,Group,9,2022
nice facil nice help staff,0.6,positive,10.0,Poland,Budget Twin Room,Solo traveler,9,2022
great stay clean staff avail alway help thank,0.5833333333333334,positive,10.0,France,Double Room,Solo traveler,9,2022
compet staff,0.0,positive,8.0,Switzerland,Two-Bedroom Suite,Family,9,2022
terrac cozi,0.0,positive,8.0,Netherlands,Budget Twin Room,Couple,9,2022
arriv middl night abl get room via selfcheckin without problem good locat close airport easili access taxi also bu rout nearbi,0.7,positive,9.0,Austria,Double Room,Couple,8,2022
clean,0.3666666666666667,positive,10.0,Italy,Double Room with Balcony,Family,9,2022
locat close beach kind staff last day kept suitcas custodi whole day close airport like minut car realli soft bed pillow,0.225,positive,10.0,Italy,Double Room with Balcony,Couple,8,2022
strateg locat properti close airport mackenzi beach fifteen minut walk along sea also reach finikoud courteou help staff maximum cleanli excel upholsteri modern furnish,0.2,positive,10.0,Italy,Double Room,Solo traveler,8,2022
earli depart flight breakfast dinner restaur good,0.7,positive,9.0,Sweden,Double Room with Balcony,Couple,8,2022
recent refurbish room,0.0,positive,8.0,Italy,Budget Twin Room,Group,8,2022
sens hospit owner,0.0,positive,10.0,France,Standard Triple Room,Couple,8,2022
dinner perfect,1.0,positive,10.0,Germany,Double Room with Balcony,Couple,8,2022
realli like locat close lake beach nice staff thank much abl move earlier clean new hotel,0.2606060606060606,positive,10.0,Ukraine,Standard Triple Room,Family,8,2022
quiet place,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,8,2022
arab food,0.0,positive,10.0,Germany,Standard Triple Room,Family,8,2022
amaz team think detail happi help flight delay took care u late checkin electr adapt,-0.3,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
room big clean also balconi toni hotel owner great man help u everyth need,0.3888888888888889,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
welcom staff smile alway avail satisfi recept restaur alway someon take care one four languag ​​greek english french arab proxim famou mackenzi beach asset charm hotel beach around minut walk,0.09999999999999999,positive,10.0,Cyprus,Double Room with Balcony,Couple,8,2022
arriv hotel one night order close larnaca airport earli morn flight room pleasant clean bed comfort everyth new clean realli nice time hotel,0.4406060606060606,positive,10.0,Israel,Two-Bedroom Suite,Family,8,2022
comfort room,0.0,positive,9.0,Cyprus,Double Room with Balcony,Family,8,2022
kind welcom structur ok sea,0.55,positive,8.0,Italy,Two-Bedroom Suite,Group,8,2022
receiv beauti kind hospit hotel staff clean room pleasant comfort bed kettl fridg room close larnaca airport less minut,0.38333333333333336,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
love clean room enough famili child two room children third bed bit problemat stabl locat near airport conveni need fli earli morn also shuttl field love promenad sea mckenzi beach worthwhil restaur worth go even staff charm kind answer smile agre everi request restaur hotel also great,0.3466666666666667,positive,9.0,Israel,Two-Bedroom Suite,Family,7,2022
cleanli first also kind staff,0.425,positive,8.0,Cyprus,Budget Twin Room,Family,8,2022
explan arriv cleanli,0.0,positive,8.0,France,Standard Triple Room,Family,8,2022
everyth,0.0,positive,10.0,Germany,Double Room,Couple,8,2022
excel locat near airport good overnight stay late earli morn flight,0.16666666666666666,positive,8.0,Israel,Standard Triple Room,Family,8,2022
cleanli kind staff,0.6,positive,8.0,Italy,Double Room,Couple,8,2022
room realli clean close larnaca airport realli conveni stop flight land middl night,0.3666666666666667,positive,8.0,Israel,Double Room,Couple,8,2022
good locat hotel room good condit hotel big,0.4666666666666666,positive,8.0,Cyprus,Budget Twin Room,Solo traveler,8,2022
pass take plane hotel locat meter beach area restaur bar town center littl foot airport nice host clean establish,0.2888888888888889,positive,8.0,France,Double Room,Couple,8,2022
good breakfast great locat near mackenzi beach staff polit help almost famili atmospher,0.5333333333333333,positive,10.0,Iceland,Standard Triple Room,Family,8,2022
locat close airport kind staff staff speak french,0.3,positive,8.0,Switzerland,Double Room,Couple,8,2022
like everyth excel servic help u everyth need,0.0,positive,10.0,Israel,Suite with Balcony,Group,8,2022
drink,0.0,positive,9.0,Germany,Double Room with Balcony,Couple,8,2022
excel locat minut walk boardwalk airport hotel staff simpli charm kind hotel recent renov room new clean condit addit smart technolog electron button request clean room bell remot control air condition problem upgrad room free hotel put u touch taxi driver took u visit mall charg u decent price,0.2813311688311688,positive,10.0,Israel,Standard Triple Room,Family,8,2022
friendli staff,0.0,positive,10.0,France,Double Room,Couple,8,2022
comfort place quiet friendli staff quiet spaciou,0.0,positive,9.0,Israel,Budget Twin Room,Couple,7,2022
friendli peopl recept restaur will serv,0.0,positive,9.0,Greece,Double Room with Balcony,Solo traveler,7,2022
calm comfort bed balconi spaciou room,0.30000000000000004,positive,9.0,France,Double Room with Balcony,Solo traveler,7,2022
amaz team help question problem smile patient chang u famili room request gave u great recommend place citi order taxi ushelp car rental even celebr daughter birthday surpris short experi,0.3666666666666667,positive,10.0,Israel,Double Room,Family,7,2022
everyth excel person attent,0.0,positive,10.0,Israel,Double Room,Family,7,2022
restaur servic good vari good price worker pleasant attent,0.7111111111111111,positive,9.0,Spain,Two-Bedroom Suite,Family,7,2022
,0.0,positive,10.0,France,Double Room,Couple,7,2022
good firm bed nice air condit room especi impress staff nice prepar fantast breakfast u self checkin night also easi arrang taxi airport hotel u great servic,0.5,positive,9.0,Netherlands,Suite with Balcony,Family,7,2022
hotel near airport minut drive away,0.1,positive,10.0,Israel,Double Room with Balcony,Couple,7,2022
great place good staff worth price,0.6,positive,9.0,Israel,Family Suite with Balcony,Group,7,2022
welcom staff super clean locat price,0.35,positive,10.0,Cyprus,Suite with Balcony,Group,7,2022
recept avail staff comfort room layout,0.0,positive,10.0,France,Family Suite with Balcony,Family,7,2022
room comfort,0.0,positive,8.0,Italy,Double Room with Balcony,Solo traveler,7,2022
place give full valu price good locat excel cleanli profession staff excel food,0.5249999999999999,positive,10.0,Israel,Family Suite with Balcony,Family,7,2022
clean quiet well organ,0.18333333333333335,positive,10.0,France,Two-Bedroom Suite,Family,7,2022
accommod nice staff help top,0.55,positive,9.0,Germany,Double Room with Balcony,Solo traveler,7,2022
employe nice clean close airport beach,0.48333333333333334,positive,10.0,Hungary,Double Room with Balcony,Couple,7,2022
perfect stay larnaca everyth order,1.0,positive,10.0,Germany,Double Room,Solo traveler,4,2022
arriv am one night owner left u clear precis inform arriv send u photo cleanli distanc airport qualiti bed size room bottl water avail sympathi owner morn made effort speak french u recommend eye close,0.03333333333333333,positive,8.0,France,Double Room with Balcony,Couple,7,2022
new hotel everyth clean fresh interest hotel near airport met expect,0.22575757575757574,positive,10.0,Ukraine,Standard Triple Room,Family,7,2022
vari breakfast choos hotel restaur,0.0,positive,8.0,Poland,Double Room with Balcony,Couple,6,2022
cleanli comfort,0.0,positive,8.0,Cyprus,Family Suite with Balcony,Group,7,2022
dish cook order delici recommend eat jasmin garden,0.0,positive,8.0,Romania,Double Room with Balcony,Couple,7,2022
like hotel newli refurbish clean tidi nice welcom staff kindli settl earli delici dinner hotel restaur cozi courtyard park,0.48333333333333334,positive,9.0,Montenegro,Standard Triple Room,Family,7,2022
pleasant staff clean tidi good food,0.6,positive,10.0,Norway,Family Suite with Balcony,Family,7,2022
clean cheap modern room,0.32222222222222224,positive,8.0,Canada,Double Room with Balcony,Group,6,2022
excel locat step sea via dei premis minut foot also reach histor center excel breakfast meal restaur freshli made modern renov room comfort bed,0.05,positive,8.0,Italy,Budget Twin Room,Group,6,2022
clean modern hotel comfort room,0.2833333333333333,positive,9.0,Israel,Two-Bedroom Suite,Family,6,2022
great transit hotel near airport room small everyth new clean comfort doubl bed crisp white linen delici breakfast cafe friendli staff side sea view park,0.20043290043290043,positive,8.0,Montenegro,Standard Triple Room,Family,6,2022
nice clean hotel easi quiet place far beach staff nice polit,0.3333333333333333,positive,10.0,Cyprus,Double Room,Couple,6,2022
proxim airport free park larg room clean,0.38333333333333336,positive,10.0,Israel,Family Suite with Balcony,Group,6,2022
hotel close larnaca airport beach best,1.0,positive,9.0,Germany,Double Room with Balcony,Couple,6,2022
clean accommod friendli staff pleasant terrac even,0.55,positive,8.0,Belgium,Double Room,Couple,6,2022
everyth gener,0.0,positive,10.0,Spain,Double Room with Balcony,Couple,6,2022
proxim airport arriv night,0.0,positive,8.0,Brazil,Double Room with Balcony,Couple,6,2022
friendli recept nice quiet room,0.3,positive,8.0,Germany,Double Room with Balcony,Couple,6,2022
clean friendli staff close beach airport lot restaur nearbi rel quiet locat,0.18333333333333335,positive,8.0,Austria,Double Room with Balcony,Couple,6,2022
clean comfort,0.3666666666666667,positive,8.0,France,Budget Twin Room,Family,6,2022
room modern larg comfort bed shower realli good also great quiet easi set room wouldnt disturb everyth clean,0.4133333333333333,positive,8.0,Spain,Double Room with Balcony,Solo traveler,6,2022
close larnaca airport min walk beach quiet hotel restaur enclosur good breakfast terrac nice,0.4333333333333333,positive,8.0,France,Suite with Balcony,Family,6,2022
kind avail staff restaur offer good qualiti dish comfort clean room calm proxim citi center beach good valu money,0.42777777777777776,positive,10.0,France,Budget Twin Room,Couple,6,2022
establish realli close airport ie minut car manag hotel extraordinarili kind care speak french help u find rental car good price accompani advis u stay room nice well furnish highli recommend hotel,0.475,positive,9.0,France,Double Room,Couple,6,2022
good breakfast comfort bed pure friendli staff,0.45714285714285713,positive,8.0,Latvia,Double Room,Solo traveler,6,2022
friendli staff commun hotel arriv fluid room spaciou comfort ideal locat near airport min bu,0.3333333333333333,positive,8.0,France,Double Room with Balcony,Couple,5,2022
nice staff restaur hotel good stay one night arriv leav visit island recommend without problem quiet clean,0.41666666666666663,positive,9.0,France,Family Suite with Balcony,Family,5,2022
recept staff cleanli qualiti room,0.0,positive,9.0,France,Double Room,Solo traveler,5,2022
good central locat nice staff neat small hotel,0.26249999999999996,positive,8.0,Germany,Double Room with Balcony,Couple,5,2022
cleanli space locat,0.0,positive,9.0,Poland,Double Room with Balcony,Couple,5,2022
clean,0.3666666666666667,positive,9.0,Israel,Double Room,Couple,5,2022
nice clean hotel near airport room everyth need also minut walk embank staff friendli tri help,0.35555555555555557,positive,8.0,Ukraine,Double Room,Couple,5,2022
owner place amaz guy nice answer everyth breakfast big varieti tasti,0.3,positive,10.0,Israel,Double Room with Balcony,Couple,5,2022
super friendli staff clean modern room,0.3,positive,8.0,Germany,Double Room,Couple,5,2022
good locat near airport beach,0.39999999999999997,positive,8.0,Czech Republic,Double Room,Couple,5,2022
nice modern room bo famili take care wellb guest,0.4,positive,10.0,Germany,Double Room,Solo traveler,5,2022
good homemad breakfast,0.7,positive,10.0,France,Two-Bedroom Suite,Family,4,2022
book taxi didnt show morn htl owner drove airport rang bed,0.0,positive,8.0,Switzerland,Double Room,Solo traveler,5,2022
love staff alway greet u smile realli nice alway respond help need call u taxi didnt charg lost room ticket stun hotel aesthet clean place innov interest servic realli request push button wont abl hear bell never come across life amaz thank much hotel,0.3933333333333333,positive,10.0,Israel,Double Room with Balcony,Family,4,2022
room staff,0.0,positive,9.0,Cyprus,Standard Triple Room,Couple,5,2022
small modern hotel friendli help host minut walk larnaca center minut walk beauti mackenzi beach id love come back,0.06999999999999999,positive,10.0,Austria,Double Room with Balcony,Solo traveler,5,2022
friendli help staff,0.0,positive,8.0,Germany,Double Room,Solo traveler,5,2022
new clean quit modern excel pricequ ratio,0.23434343434343438,positive,10.0,Colombia,Standard Triple Room,Couple,5,2022
delici homemad breakfast speak french care welcom hour day close airport,0.0,positive,10.0,France,Two-Bedroom Suite,Family,5,2022
everyth wonder,0.0,positive,9.0,Germany,Double Room with Balcony,Solo traveler,4,2022
kind,0.6,positive,10.0,Spain,Double Room with Balcony,Family,4,2022
intim hotel servic highest level cuisin simpl tasti locat close beach gastronomi airport,0.0,positive,10.0,Poland,Double Room with Balcony,Solo traveler,4,2022
renov brilliant famili hotel friendli staff suit u one night stay flight dinner hotel restaur excel chef gave person touch understand exactli want recommend,0.9,positive,10.0,Israel,Two-Bedroom Suite,Family,4,2022
perfect locat airport friendli recept clean,0.6833333333333333,positive,10.0,Germany,Standard Triple Room,Family,4,2022
locat room comfort servic courtesi staff,0.0,positive,10.0,Cyprus,Double Room with Balcony,Group,4,2022
great hotel love staff readi help hour,0.65,positive,10.0,Israel,Standard Triple Room,Family,4,2022
clean host nice gave u instruct get hotel even pick u bu stop late,0.22222222222222224,positive,9.0,Germany,Double Room,Couple,4,2022
friendli staff clean everywher nice room nice balconi quiet peac area definit hotel worth visit,0.37333333333333335,positive,10.0,Denmark,Double Room with Balcony,Couple,4,2022
